"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SRR1554534","SRR1554535","SRR1554568","SRR1554561","SRR1554567","SRR1554536","SRR1554541","SRR1554539","SRR1554538","SRR1554537"
"ACSS1",8631.35919124773,-2.95767918532907,0.531679391442012,-5.56289980942708,2.65328239174036e-08,1.0253036505548e-07,13.3900604471894,13.223385274709,11.5906047260078,13.0204523197399,11.2622627781682,14.8667045497098,10.031586085891,12.0393030861787,11.0479927337757,11.2921864743234
"ACSS3",1466.40947316704,-2.65822887712903,0.568431992835748,-4.6764237598026,2.91921059282547e-06,8.66959565418258e-06,10.1597090582836,10.5105336511308,9.0139011953998,10.2544046414625,8.78035843666228,12.4036968445045,8.18876622973563,9.73330169140419,9.37748547163995,8.51552396381231
"ACTA2",5143.96126498109,-3.69554818784519,0.675048737329018,-5.474490927081,4.38771119680259e-08,1.64736286580294e-07,11.9379850338926,10.8746632169434,9.2592199361906,11.6180890304256,9.77740351750395,14.4952339803601,10.2444310227378,11.8956217091761,10.0700041387453,9.02115176950709
"ACTC1",292.359380371991,-2.32921176879516,0.634082636894596,-3.67335680441025,0.000239384851211536,0.000535464291750804,8.57893696812683,8.33925344917553,7.57859696077987,8.36860159580747,7.57375854494687,8.81536508256442,5.34998733848152,8.6941284030824,6.45075189912203,5.50854143132806
"ACTG1",132285.408544109,1.1578811166215,0.221269531320909,5.23289903363251,1.66871900390745e-07,5.85168167825199e-07,16.6953475067448,16.3336566365034,17.5266999869187,16.7356239990472,17.1768911515431,15.9719762948078,17.2748251370986,16.1048593990355,17.3696636520521,17.5679664937473
"ACTG1P20",543.491313953899,1.86263625004143,0.240788179102407,7.73558011437618,1.02932656529573e-14,8.2974025161821e-14,7.85831364412551,8.17202241273644,9.79980620060654,8.30543074229255,9.24417662564352,8.33540528190263,9.47379365342339,7.69603818725145,9.45026915710278,9.64416715654175
"ACTL6A",2303.94959504805,1.74612904032691,0.490670081581027,3.55866213546294,0.00037274866070539,0.000810786021829774,9.27776113553308,10.2856117354803,11.8933928823863,8.97264461919255,11.5014306118019,11.2094296986615,10.716583755794,9.72569080908187,11.8699335147539,11.7973985344117
"ACTN1",13742.8514417297,-2.10834063357759,0.291980636073225,-7.2208234831328,5.16736925070606e-13,3.44365068901579e-12,14.491847736073,13.8786198122474,12.7383814703517,14.7863941483425,12.4071885866587,13.6681009092101,12.1028420452452,14.2885468491571,12.8392634478694,12.2346687083252
"ACTN4",26261.8782349075,-1.35404332163962,0.214268624126741,-6.31937283005418,2.62626966280192e-10,1.2968621928004e-09,15.3469614995476,14.7124886507511,14.042231205378,15.4642163387794,13.7641808890474,15.0119394762258,13.7931134717884,14.8067691777086,14.1334246364029,13.984210822992
"ACTR1B",12762.3427510535,-1.66783350532459,0.187831567964565,-8.87941001290706,6.72159161687168e-19,7.9512263189329e-18,14.2903042424305,14.15766919679,13.0015986180426,14.2633253374199,12.7083127363187,13.7744851994295,12.5184338589025,14.0546989618865,12.4458168503781,12.7799060686119
