"","SRR1554534","SRR1554535","SRR1554568","SRR1554561","SRR1554567","SRR1554536","SRR1554541","SRR1554539","SRR1554538","SRR1554537"
"PNPO",12.6795329790482,12.5200277526025,9.67608121161439,12.47168546831,10.2836074376623,12.3540969616411,10.2667211564448,12.4262742244152,9.96664916330006,10.2783762918042
"SHQ1",9.62255180657569,10.0787364537218,9.97522122830293,9.73298066565848,9.78372992507546,9.85687800575603,9.67432214920039,9.93096296151577,9.96351240271104,9.83786383245462
"CEP55",4.11119837341916,4.08891780991802,9.68580234395306,4.20065146482847,8.64695980107413,4.24233372190458,6.71590821536695,4.59925358723791,8.9228103296533,9.11040522384701
"CENPQ",8.6173316965793,10.0335474317937,9.93572244499036,8.15275422853795,9.46283994381842,9.79117739846994,8.23603128796961,9.12113888877664,9.34228585873541,9.11748889985822
"MSL2",11.5469523174083,11.8321915198355,13.2191092883708,11.6899690309486,13.1011514218651,11.7312907538724,12.9907547604553,12.0140578825752,13.1823572680561,13.2839508464447
"MRPS18A",11.4443800342583,11.2599496746962,9.91290036807935,11.4756228912377,10.1548919607288,11.9783068448308,10.0656339878332,11.0649573235458,10.0819849830255,10.2702934878286
"PRMT6",11.2201748530798,11.0703696396821,10.6633177087645,11.4702414866061,11.1678013313946,10.907552279946,11.0645185817434,11.2894552444689,10.8502686736277,10.9114737570932
"TBCCD1",9.80536026022691,10.1863388142898,10.8384140320549,9.8866362024341,11.1386846249411,10.2706917824918,11.6564318251252,10.2973939945809,11.4426771989855,11.2271756549482
"DNAAF2",10.5488583394847,10.7295947316381,11.25079967106,10.701926976585,11.4461648924467,10.6741105189225,11.2609778373651,10.7170621690174,11.3458320193404,11.3093985435576
"MRPS10",10.9710056414702,11.6706750325079,11.2200104315794,11.2714026740462,11.311161146014,11.4926801422789,11.5130821674047,11.8381983328004,11.229465243121,11.216676259429
